,Durchgang,Uhrzeit,Gebotindex,Geber,Ausgangswert,Anteil,Angebotskategorie,Reaktion,Reaktionszeit,subjectID,Teil
35,36,08:40:56:687,177,187.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,580.9,1,1
37,38,08:41:05:796,36,40.0,19.0,5.0,Topf_gross_viel,Abgelehnt,709.0,1,1
38,39,08:41:10:562,178,188.0,11.0,3.0,Topf_klein_mittel,Abgelehnt,612.3,1,1
39,40,08:41:16:078,70,76.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,542.0,1,1
41,42,08:41:26:984,17,17.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,509.4,1,1
42,43,08:41:32:718,183,195.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,565.6,1,1
43,44,08:41:36:953,112,118.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,570.6,1,1
44,45,08:41:42:406,188,200.0,11.0,3.0,Topf_klein_mittel,Abgelehnt,734.3,1,1
45,46,08:41:47:156,209,221.0,11.0,3.0,Topf_klein_mittel,Abgelehnt,542.2,1,1
47,48,08:41:56:578,62,68.0,11.0,3.0,Topf_klein_mittel,Abgelehnt,569.5,1,1
48,49,08:42:01:609,110,116.0,19.0,5.0,Topf_gross_viel,Abgelehnt,798.1,1,1
49,50,08:42:07:781,50,54.0,11.0,3.0,Topf_klein_mittel,Abgelehnt,532.8,1,1
50,51,08:42:13:656,153,163.0,11.0,3.0,Topf_klein_mittel,Abgelehnt,607.0,1,1
51,52,08:42:18:015,190,202.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,583.1,1,1
52,53,08:42:23:828,95,101.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,484.7,1,1
53,54,08:42:29:593,211,225.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,570.9,1,1
54,55,08:42:37:015,235,249.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,503.1,1,1
55,56,08:42:41:062,89,95.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,532.1,1,1
57,58,08:42:50:578,117,123.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,427.4,1,1
58,59,08:42:55:796,14,14.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,440.5,1,1
59,60,08:43:01:609,78,84.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,533.4,1,1
60,61,08:43:06:031,35,39.0,19.0,5.0,Topf_gross_viel,Abgelehnt,731.5,1,1
61,62,08:43:10:843,106,112.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,384.8,1,1
62,63,08:43:15:687,142,150.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,740.8,1,1
63,64,08:43:21:296,91,97.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,537.7,1,1
64,65,08:43:26:218,146,154.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,443.7,1,1
65,66,08:43:30:687,196,208.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,559.2,1,1
67,68,08:43:40:562,25,25.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,423.6,1,1
68,69,08:43:45:234,96,102.0,19.0,5.0,Topf_gross_viel,Abgelehnt,307.0,1,1
69,70,08:43:51:718,133,141.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,500.9,1,1
70,71,08:43:56:671,231,245.0,19.0,3.0,Topf_gross_mittel,Abgelehnt,588.8,1,1
72,73,08:44:08:171,226,240.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,315.8,1,1
73,74,08:44:12:765,223,237.0,19.0,3.0,Topf_gross_mittel,Abgelehnt,434.6,1,1
74,75,08:44:17:875,132,140.0,19.0,3.0,Topf_gross_mittel,Abgelehnt,427.9,1,1
75,76,08:44:24:515,173,183.0,19.0,3.0,Topf_gross_mittel,Abgelehnt,399.7,1,1
76,77,08:44:29:046,186,198.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,192.4,1,1
77,78,08:44:34:343,144,152.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,482.9,1,1
78,79,08:44:39:734,55,59.0,19.0,3.0,Topf_gross_mittel,Abgelehnt,304.6,1,1
79,80,08:44:44:796,92,98.0,11.0,5.0,Topf_klein_viel,Abgelehnt,355.8,1,1
80,81,08:44:49:031,157,167.0,19.0,3.0,Topf_gross_mittel,Abgelehnt,497.3,1,1
81,82,08:44:53:765,83,89.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,458.0,1,1
83,84,08:45:05:171,151,161.0,19.0,3.0,Topf_gross_mittel,Abgelehnt,565.2,1,1
84,85,08:45:09:296,221,235.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,422.2,1,1
85,86,08:45:13:375,44,48.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,433.7,1,1
86,87,08:45:18:671,71,77.0,11.0,3.0,Topf_klein_mittel,Abgelehnt,731.5,1,1
87,88,08:45:25:265,46,50.0,11.0,5.0,Topf_klein_viel,Abgelehnt,817.4,1,1
88,89,08:45:29:296,126,134.0,11.0,3.0,Topf_klein_mittel,Abgelehnt,758.3,1,1
89,90,08:45:34:984,166,176.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,735.9,1,1
90,91,08:45:41:843,39,43.0,19.0,5.0,Topf_gross_viel,Abgelehnt,411.0,1,1
91,92,08:45:46:593,150,158.0,19.0,3.0,Topf_gross_mittel,Abgelehnt,571.0,1,1
92,93,08:45:51:250,195,207.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,479.7,1,1
93,94,08:45:56:703,121,129.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,474.7,1,1
94,95,08:46:03:062,163,173.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,458.0,1,1
95,96,08:46:11:968,236,250.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,465.7,1,1
97,98,08:46:28:203,134,142.0,19.0,5.0,Topf_gross_viel,Abgelehnt,714.1,1,1
98,99,08:46:32:671,116,122.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,677.5,1,1
99,100,08:46:38:296,197,209.0,11.0,3.0,Topf_klein_mittel,Abgelehnt,617.8,1,1
100,101,08:46:42:875,123,131.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,529.2,1,1
101,102,08:46:48:937,13,13.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,508.0,1,1
102,103,08:46:53:218,129,137.0,19.0,5.0,Topf_gross_viel,Abgelehnt,727.6,1,1
104,105,08:47:05:406,19,19.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,531.0,1,1
105,106,08:47:11:453,120,126.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,494.5,1,1
106,107,08:47:15:609,114,120.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,574.8,1,1
107,108,08:47:20:328,125,133.0,19.0,3.0,Topf_gross_mittel,Abgelehnt,584.0,1,1
108,109,08:47:26:734,145,153.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,396.7,1,1
109,110,08:47:31:453,73,79.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,446.6,1,1
110,111,08:47:36:781,180,190.0,11.0,5.0,Topf_klein_viel,Angenommen,1103.1,1,1
111,112,08:47:43:734,225,239.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,542.2,1,1
112,113,08:47:49:437,131,139.0,19.0,3.0,Topf_gross_mittel,Abgelehnt,575.8,1,1
113,114,08:47:55:625,182,194.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,589.9,1,1
114,115,08:48:01:921,52,56.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,583.2,1,1
116,117,08:48:12:031,111,117.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,462.9,1,1
117,118,08:48:17:359,213,227.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,423.3,1,1
119,120,08:48:28:125,171,181.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,524.8,1,1
121,122,08:48:37:890,149,157.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,521.9,1,1
122,123,08:48:44:000,200,212.0,11.0,3.0,Topf_klein_mittel,Abgelehnt,410.7,1,1
123,124,08:48:48:640,6,6.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,576.2,1,1
124,125,08:48:54:734,85,91.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,473.5,1,1
125,126,08:48:59:687,174,184.0,19.0,3.0,Topf_gross_mittel,Abgelehnt,497.4,1,1
126,127,08:49:04:250,72,78.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,520.8,1,1
128,129,08:49:15:437,20,20.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,1036.8,1,1
130,131,08:49:28:250,165,175.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,534.6,1,1
131,132,08:49:33:562,67,73.0,11.0,3.0,Topf_klein_mittel,Abgelehnt,408.4,1,1
132,133,08:49:40:156,104,110.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,517.7,1,1
133,134,08:49:44:546,222,236.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,420.4,1,1
135,136,08:49:54:875,86,92.0,19.0,3.0,Topf_gross_mittel,Abgelehnt,347.4,1,1
136,137,08:50:02:140,148,156.0,11.0,3.0,Topf_klein_mittel,Abgelehnt,613.7,1,1
137,138,08:50:06:359,103,109.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,859.3,1,1
138,139,08:50:12:234,105,111.0,11.0,3.0,Topf_klein_mittel,Abgelehnt,541.4,1,1
139,140,08:50:19:734,194,206.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,607.0,1,1
0,1,08:57:20:171,155,165.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,790.7,1,2
1,2,08:57:24:484,81,87.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,432.9,1,2
2,3,08:57:28:687,207,219.0,11.0,5.0,Topf_klein_viel,Abgelehnt,671.1,1,2
3,4,08:57:32:656,68,74.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,374.0,1,2
4,5,08:57:39:218,64,70.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,541.4,1,2
5,6,08:57:45:453,214,228.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,369.3,1,2
6,7,08:57:51:234,136,144.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,487.5,1,2
7,8,08:57:56:031,47,51.0,19.0,3.0,Topf_gross_mittel,Abgelehnt,454.3,1,2
8,9,08:58:00:687,220,234.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,386.3,1,2
9,10,08:58:05:015,191,203.0,19.0,3.0,Topf_gross_mittel,Abgelehnt,451.1,1,2
10,11,08:58:10:093,101,107.0,11.0,3.0,Topf_klein_mittel,Abgelehnt,909.6,1,2
11,12,08:58:16:609,239,253.0,19.0,3.0,Topf_gross_mittel,Abgelehnt,1102.9,1,2
12,13,08:58:22:546,162,172.0,11.0,3.0,Topf_klein_mittel,Abgelehnt,390.3,1,2
13,14,08:58:27:218,107,113.0,19.0,5.0,Topf_gross_viel,Abgelehnt,345.7,1,2
14,15,08:58:31:593,216,230.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,496.6,1,2
15,16,08:58:37:328,193,205.0,11.0,5.0,Topf_klein_viel,Abgelehnt,537.4,1,2
16,17,08:58:41:437,32,36.0,11.0,5.0,Topf_klein_viel,Abgelehnt,378.9,1,2
17,18,08:58:46:906,232,246.0,19.0,3.0,Topf_gross_mittel,Abgelehnt,414.1,1,2
19,20,08:58:56:890,212,226.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,410.5,1,2
20,21,08:59:01:296,45,49.0,11.0,3.0,Topf_klein_mittel,Abgelehnt,729.4,1,2
21,22,08:59:06:640,94,100.0,19.0,3.0,Topf_gross_mittel,Abgelehnt,433.0,1,2
22,23,08:59:12:359,41,45.0,11.0,3.0,Topf_klein_mittel,Abgelehnt,530.0,1,2
23,24,08:59:16:796,24,24.0,11.0,3.0,Topf_klein_mittel,Abgelehnt,614.8,1,2
24,25,08:59:20:906,230,244.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,585.0,1,2
25,26,08:59:27:250,8,8.0,19.0,3.0,Topf_gross_mittel,Abgelehnt,528.3,1,2
26,27,08:59:33:296,130,138.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,851.7,1,2
27,28,08:59:39:796,69,75.0,19.0,3.0,Topf_gross_mittel,Abgelehnt,621.1,1,2
29,30,08:59:49:718,164,174.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,564.2,1,2
31,32,09:00:00:656,198,210.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,458.3,1,2
33,34,09:00:14:265,137,145.0,19.0,5.0,Topf_gross_viel,Abgelehnt,700.5,1,2
34,35,09:00:20:343,59,65.0,11.0,3.0,Topf_klein_mittel,Abgelehnt,551.2,1,2
35,36,09:00:24:546,74,80.0,19.0,5.0,Topf_gross_viel,Abgelehnt,468.8,1,2
36,37,09:00:29:312,141,149.0,11.0,3.0,Topf_klein_mittel,Abgelehnt,348.1,1,2
38,39,09:00:40:890,42,46.0,19.0,5.0,Topf_gross_viel,Abgelehnt,424.6,1,2
39,40,09:00:45:125,84,90.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,550.1,1,2
41,42,09:00:56:046,79,85.0,19.0,3.0,Topf_gross_mittel,Abgelehnt,380.1,1,2
42,43,09:01:01:703,202,214.0,19.0,5.0,Topf_gross_viel,Abgelehnt,367.8,1,2
43,44,09:01:05:859,60,66.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,711.9,1,2
44,45,09:01:09:906,65,71.0,11.0,3.0,Topf_klein_mittel,Abgelehnt,396.3,1,2
46,47,09:01:19:562,33,37.0,11.0,3.0,Topf_klein_mittel,Abgelehnt,366.3,1,2
47,48,09:01:26:359,181,193.0,11.0,5.0,Topf_klein_viel,Abgelehnt,403.3,1,2
48,49,09:01:32:109,156,166.0,11.0,3.0,Topf_klein_mittel,Abgelehnt,539.0,1,2
49,50,09:01:37:593,99,105.0,11.0,3.0,Topf_klein_mittel,Abgelehnt,413.9,1,2
50,51,09:01:44:203,27,27.0,19.0,3.0,Topf_gross_mittel,Abgelehnt,442.5,1,2
51,52,09:01:51:015,28,28.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,606.9,1,2
52,53,09:01:55:468,16,16.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,483.0,1,2
53,54,09:02:01:640,40,44.0,19.0,5.0,Topf_gross_viel,Abgelehnt,393.9,1,2
54,55,09:02:07:218,56,60.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,376.1,1,2
55,56,09:02:11:515,139,147.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,403.0,1,2
56,57,09:02:16:765,192,204.0,19.0,3.0,Topf_gross_mittel,Abgelehnt,366.8,1,2
57,58,09:02:22:750,240,254.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,356.9,1,2
58,59,09:02:27:203,10,10.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,488.9,1,2
59,60,09:02:32:500,87,93.0,19.0,3.0,Topf_gross_mittel,Abgelehnt,530.8,1,2
61,62,09:02:42:828,90,96.0,11.0,3.0,Topf_klein_mittel,Abgelehnt,377.6,1,2
62,63,09:02:47:531,66,72.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,467.7,1,2
63,64,09:02:53:406,11,11.0,19.0,5.0,Topf_gross_viel,Abgelehnt,445.9,1,2
64,65,09:02:57:937,147,155.0,11.0,3.0,Topf_klein_mittel,Abgelehnt,639.3,1,2
65,66,09:03:03:875,3,3.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,663.6,1,2
67,68,09:03:13:343,138,146.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,400.9,1,2
68,69,09:03:19:640,1,1.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,346.8,1,2
69,70,09:03:24:484,4,4.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,350.1,1,2
70,71,09:03:29:671,7,7.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,340.6,1,2
71,72,09:03:34:656,199,211.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,459.7,1,2
73,74,09:03:46:015,218,232.0,19.0,5.0,Topf_gross_viel,Abgelehnt,496.2,1,2
74,75,09:03:50:703,18,18.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,411.0,1,2
75,76,09:03:55:093,75,81.0,11.0,3.0,Topf_klein_mittel,Abgelehnt,361.8,1,2
76,77,09:03:59:609,109,115.0,19.0,5.0,Topf_gross_viel,Abgelehnt,355.2,1,2
77,78,09:04:04:671,233,247.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,343.1,1,2
78,79,09:04:11:578,115,121.0,19.0,5.0,Topf_gross_viel,Abgelehnt,271.5,1,2
80,81,09:04:22:421,49,53.0,19.0,5.0,Topf_gross_viel,Abgelehnt,441.6,1,2
82,83,09:04:34:093,228,242.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,426.0,1,2
83,84,09:04:39:484,234,248.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,567.8,1,2
84,85,09:04:46:453,215,229.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,430.9,1,2
85,86,09:04:51:984,127,135.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,367.2,1,2
86,87,09:04:57:156,97,103.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,342.3,1,2
87,88,09:05:03:562,168,178.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,418.9,1,2
89,90,09:05:13:968,187,199.0,19.0,5.0,Topf_gross_viel,Abgelehnt,342.5,1,2
91,92,09:05:27:453,31,35.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,558.2,1,2
92,93,09:05:32:875,9,9.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,410.6,1,2
93,94,09:05:37:265,184,196.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,313.4,1,2
94,95,09:05:42:500,219,233.0,19.0,3.0,Topf_gross_mittel,Abgelehnt,261.7,1,2
95,96,09:05:47:781,179,189.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,424.9,1,2
96,97,09:05:52:953,100,106.0,11.0,3.0,Topf_klein_mittel,Abgelehnt,424.0,1,2
98,99,09:06:02:937,229,243.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,420.5,1,2
99,100,09:06:07:218,21,21.0,19.0,3.0,Topf_gross_mittel,Abgelehnt,367.4,1,2
100,101,09:06:13:031,108,114.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,324.2,1,2
101,102,09:06:17:546,161,171.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,477.6,1,2
102,103,09:06:22:859,175,185.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,559.4,1,2
104,105,09:06:33:328,170,180.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,456.2,1,2
105,106,09:06:37:765,5,5.0,19.0,3.0,Topf_gross_mittel,Abgelehnt,421.1,1,2
106,107,09:06:42:203,61,67.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,473.3,1,2
107,108,09:06:46:671,172,182.0,19.0,3.0,Topf_gross_mittel,Abgelehnt,484.6,1,2
108,109,09:06:53:328,12,12.0,19.0,3.0,Topf_gross_mittel,Abgelehnt,503.8,1,2
110,111,09:07:08:812,189,201.0,19.0,5.0,Topf_gross_viel,Abgelehnt,653.9,1,2
112,113,09:07:18:593,30,34.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,443.2,1,2
113,114,09:07:25:421,135,143.0,11.0,3.0,Topf_klein_mittel,Abgelehnt,350.9,1,2
114,115,09:07:31:250,205,217.0,19.0,5.0,Topf_gross_viel,Abgelehnt,451.9,1,2
115,116,09:07:35:921,206,218.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,479.2,1,2
116,117,09:07:40:562,80,86.0,19.0,3.0,Topf_gross_mittel,Abgelehnt,363.3,1,2
118,119,09:07:51:812,57,61.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,469.2,1,2
119,120,09:07:58:593,29,33.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,426.9,1,2
120,121,09:08:03:625,154,164.0,11.0,3.0,Topf_klein_mittel,Abgelehnt,383.6,1,2
121,122,09:08:09:750,88,94.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,431.5,1,2
122,123,09:08:15:453,98,104.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,529.9,1,2
123,124,09:08:19:609,63,69.0,19.0,5.0,Topf_gross_viel,Abgelehnt,458.0,1,2
124,125,09:08:24:343,176,186.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,378.8,1,2
125,126,09:08:30:062,26,26.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,659.0,1,2
126,127,09:08:34:953,37,41.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,501.5,1,2
127,128,09:08:40:421,201,213.0,19.0,5.0,Topf_gross_viel,Abgelehnt,537.2,1,2
128,129,09:08:47:062,2,2.0,19.0,3.0,Topf_gross_mittel,Abgelehnt,404.5,1,2
129,130,09:08:51:484,77,83.0,11.0,3.0,Topf_klein_mittel,Abgelehnt,377.8,1,2
130,131,09:08:57:359,140,148.0,19.0,5.0,Topf_gross_viel,Abgelehnt,316.7,1,2
131,132,09:09:02:953,119,125.0,19.0,5.0,Topf_gross_viel,Abgelehnt,498.4,1,2
132,133,09:09:07:515,124,132.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,945.8,1,2
133,134,09:09:12:390,23,23.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,477.1,1,2
134,135,09:09:17:093,113,119.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,375.2,1,2
136,137,09:09:26:562,152,162.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,376.4,1,2
137,138,09:09:32:312,204,216.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,567.9,1,2
138,139,09:09:38:250,53,57.0,11.0,1.0,Topf_klein_wenig,Abgelehnt,560.2,1,2
139,140,09:09:44:609,167,177.0,19.0,3.0,Topf_gross_mittel,Abgelehnt,391.4,1,2
0,1,09:34:39:734,79,85.0,19.0,3.0,Topf_gross_mittel,Fehler,0.0,2,1
1,2,09:34:46:312,29,33.0,11.0,1.0,Topf_klein_wenig,Angenommen,495.1,2,1
2,3,09:34:51:421,188,200.0,11.0,3.0,Topf_klein_mittel,Angenommen,472.9,2,1
3,4,09:34:57:359,81,87.0,19.0,1.0,Topf_gross_wenig,Angenommen,345.1,2,1
4,5,09:35:03:765,235,249.0,11.0,1.0,Topf_klein_wenig,Angenommen,469.7,2,1
5,6,09:35:09:546,209,221.0,11.0,3.0,Topf_klein_mittel,Angenommen,308.6,2,1
7,8,09:35:20:828,124,132.0,11.0,1.0,Topf_klein_wenig,Angenommen,524.5,2,1
8,9,09:35:26:484,213,227.0,19.0,1.0,Topf_gross_wenig,Angenommen,608.1,2,1
10,11,09:35:37:234,160,170.0,19.0,1.0,Topf_gross_wenig,Angenommen,357.6,2,1
11,12,09:35:45:734,100,106.0,11.0,3.0,Topf_klein_mittel,Angenommen,638.0,2,1
12,13,09:35:50:781,189,201.0,19.0,5.0,Topf_gross_viel,Angenommen,529.8,2,1
13,14,09:35:54:875,116,122.0,11.0,1.0,Topf_klein_wenig,Angenommen,1140.8,2,1
14,15,09:36:00:984,140,148.0,19.0,5.0,Topf_gross_viel,Angenommen,421.6,2,1
16,17,09:36:14:015,240,254.0,11.0,1.0,Topf_klein_wenig,Angenommen,407.3,2,1
17,18,09:36:18:343,66,72.0,19.0,1.0,Topf_gross_wenig,Angenommen,616.2,2,1
18,19,09:36:22:578,3,3.0,19.0,1.0,Topf_gross_wenig,Angenommen,749.1,2,1
19,20,09:36:28:500,236,250.0,11.0,1.0,Topf_klein_wenig,Angenommen,493.9,2,1
20,21,09:36:34:046,141,149.0,11.0,3.0,Topf_klein_mittel,Angenommen,518.2,2,1
21,22,09:36:40:562,171,181.0,11.0,1.0,Topf_klein_wenig,Angenommen,438.8,2,1
22,23,09:36:46:421,60,66.0,19.0,1.0,Topf_gross_wenig,Angenommen,394.4,2,1
23,24,09:36:51:218,80,86.0,19.0,3.0,Topf_gross_mittel,Angenommen,560.3,2,1
25,26,09:37:01:031,70,76.0,11.0,1.0,Topf_klein_wenig,Angenommen,379.5,2,1
26,27,09:37:06:250,212,226.0,19.0,1.0,Topf_gross_wenig,Abgelehnt,1000.6,2,1
